Comment,Designator,Footprint,Qty,MPN,LCSC Part #
SM07B-SRSS-TB,"MASTER1,SLAVE1,SLAVE2",JST_SH_SM07B-SRSS-TB_1x07-1MP_P1.00mm_Horizontal,3,SM07B-SRSS-TB(LF)(SN),C160406
0.1uF,"C1,C2",C_0805_2012Metric,2,0.1uF 0805 X7R,C49678
DIP4 RGB/HV select -- DNP for PCBA; hand-solder (Wurth 418121160804),SW1,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile,1,418121160804,
DF40C-80DP (Bank A / Site B / MECH-ONLY),J2,Hirose_DF40C-80DP-0.4V_2x40-1MP_P0.4mm,1,DF40C-80DP-0.4V(51),C294544
DF40C-80DP (Bank B / Site C),J3,Hirose_DF40C-80DP-0.4V_2x40-1MP_P0.4mm,1,DF40C-80DP-0.4V(51),C294544
DF40C-50DP (Site A / +3V3 only),J1,Hirose_DF40C-50DP-0.4V_2x25-1MP_P0.4mm,1,DF40C-50DP-0.4V(51),C424645
