W,sum_over_frame
0.0,62804.0
17.0,62912.2
34.0,62899.3
51.0,62884.8
68.0,62913.8
85.0,63023.7
102.0,63192.5
119.0,63474.5
136.0,63840.0
153.0,64276.7
170.0,64808.7
187.0,65469.3
204.0,66252.3
221.0,67092.3
238.0,68119.2
255.0,69290.0
