level,kind,t_s,icp_shift,raw_sum,aligned_sum,light_above_ref
0,sweep,93.3,0.0,65094.0,65094.0,0.0
255,sweep,189.9,-0.1422,71766.0,71706.8,6612.9
119,sweep,286.5,1.5164,67662.5,68293.3,3199.3
51,sweep,383.3,2.2232,65560.0,66484.9,1390.9
187,sweep,480.3,1.7493,69242.0,69969.7,4875.7
17,sweep,577.4,3.1472,64227.5,65536.7,442.7
85,sweep,674.2,2.8294,66076.0,67253.0,2159.0
153,sweep,770.9,2.544,67971.0,69029.3,3935.3
221,sweep,867.0,2.5099,69590.0,70634.1,5540.1
34,sweep,962.7,3.5907,64444.0,65937.7,843.7
68,sweep,1058.0,3.5053,65290.0,66748.2,1654.2
102,sweep,1152.3,3.512,66310.0,67771.0,2677.0
136,sweep,1249.2,3.4095,67291.5,68709.8,3615.8
170,sweep,1347.1,3.1633,68233.5,69549.4,4455.4
204,sweep,1443.6,2.9241,69211.0,70427.4,5333.4
238,sweep,1538.8,2.7685,70082.5,71234.2,6140.2
