delay_us,mean,spread,ntags,p0,p1,p2,p3,p4,p5,p6,p7
340.0,170.53,1.0,8,170.75,170.5,170.0,170.0,170.0,171.0,171.0,171.0
345.0,170.6,1.0,8,171.0,170.33,170.0,170.0,170.5,171.0,171.0,171.0
350.0,170.61,1.0,8,171.0,170.5,170.2,170.0,170.67,170.75,171.0,170.75
355.0,170.69,1.0,8,170.5,170.5,170.5,170.0,171.0,171.0,171.0,171.0
360.0,170.94,0.5,8,171.0,171.0,170.5,171.0,171.0,171.0,171.0,171.0
365.0,170.84,1.0,8,171.0,170.75,170.0,171.0,171.0,171.0,171.0,171.0
370.0,171.01,0.58,8,171.0,171.0,171.0,170.75,171.0,171.0,171.0,171.33
375.0,170.98,0.83,8,171.33,171.0,170.5,171.0,171.0,171.0,171.0,171.0
380.0,170.94,0.5,8,171.0,171.0,170.75,170.75,170.75,171.0,171.25,171.0
385.0,170.97,0.25,8,171.0,171.0,170.75,171.0,171.0,171.0,171.0,171.0
390.0,171.05,0.83,8,171.0,171.0,171.0,171.0,170.67,171.0,171.25,171.5
395.0,171.19,0.5,8,171.0,171.0,171.0,171.0,171.0,171.5,171.5,171.5
400.0,171.17,0.67,8,171.0,171.0,171.0,171.0,171.0,171.33,171.33,171.67
405.0,171.28,1.0,8,171.5,171.0,171.0,171.0,171.0,171.25,172.0,171.5
410.0,171.44,1.0,8,172.0,171.0,171.0,171.0,171.0,171.5,172.0,172.0
415.0,171.56,1.0,8,172.0,171.67,171.0,171.0,171.0,172.0,172.0,171.83
420.0,171.62,1.0,8,172.0,171.5,171.0,171.0,171.5,172.0,172.0,172.0
425.0,171.57,0.83,8,171.67,171.5,171.17,171.25,171.5,172.0,172.0,171.5
430.0,171.56,1.0,8,172.0,171.0,171.0,171.0,172.0,171.5,172.0,172.0
435.0,171.71,1.0,8,172.0,171.5,171.0,171.5,171.67,172.0,172.0,172.0
440.0,171.81,1.0,8,172.0,172.0,171.5,171.0,172.0,172.0,172.0,172.0
445.0,171.96,0.29,8,172.0,172.0,172.0,172.0,171.71,172.0,172.0,172.0
450.0,172.0,1.0,8,172.0,172.0,172.0,172.0,171.5,172.0,172.5,172.0
455.0,171.98,0.58,8,172.0,171.75,172.0,171.75,172.0,172.0,172.0,172.33
460.0,172.0,0.0,8,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0
465.0,172.02,0.58,8,172.25,172.0,172.0,172.0,171.67,172.0,172.0,172.25
470.0,171.94,0.5,8,172.0,172.0,172.0,172.0,171.5,172.0,172.0,172.0
475.0,172.07,0.33,8,172.25,172.0,172.0,172.0,172.0,172.0,172.33,172.0
480.0,172.25,1.0,8,172.5,172.0,172.0,172.0,172.0,172.0,172.5,173.0
485.0,172.37,1.0,8,172.67,172.0,172.0,172.0,172.0,172.33,173.0,173.0
490.0,172.19,0.5,8,172.5,172.0,172.0,172.0,172.0,172.0,172.5,172.5
495.0,172.48,1.0,8,173.0,172.12,172.0,172.0,172.25,172.5,173.0,173.0
500.0,172.34,1.0,8,172.5,172.2,172.0,172.0,172.0,172.67,172.33,173.0
505.0,172.6,1.0,8,173.0,172.33,172.0,172.25,172.25,173.0,173.0,173.0
510.0,172.6,1.0,8,172.5,172.33,172.5,172.0,172.5,173.0,173.0,173.0
515.0,172.77,0.67,8,173.0,173.0,172.38,172.67,172.33,172.75,173.0,173.0
520.0,172.89,1.17,8,172.5,173.0,172.75,172.33,173.0,173.0,173.0,173.5
525.0,172.83,1.0,8,172.75,172.75,173.0,172.33,172.5,173.0,173.0,173.33
530.0,172.81,0.5,8,173.0,172.5,172.5,173.0,172.5,173.0,173.0,173.0
535.0,173.0,0.54,8,173.0,173.0,173.0,172.75,173.0,173.0,173.0,173.29
540.0,173.0,1.0,8,173.0,173.0,173.0,173.0,172.5,173.0,173.5,173.0
545.0,173.12,0.75,8,173.5,173.0,173.0,173.0,172.75,173.25,173.5,173.0
550.0,173.19,1.5,8,173.5,173.0,173.0,172.5,173.0,173.5,173.0,174.0
555.0,173.28,1.0,8,173.0,173.0,173.0,173.0,173.0,173.5,174.0,173.75
560.0,173.38,1.0,8,173.5,173.0,173.0,173.0,173.0,174.0,173.5,174.0
565.0,173.39,1.0,8,173.5,173.25,173.0,173.0,173.25,173.33,174.0,173.75
570.0,173.56,1.0,8,174.0,173.0,173.0,173.0,174.0,174.0,174.0,173.5
575.0,173.56,1.0,8,173.75,173.75,173.5,173.0,173.0,173.83,173.67,174.0
580.0,173.69,1.0,8,174.0,174.0,173.5,173.0,173.5,173.5,174.0,174.0
585.0,173.67,0.75,8,173.67,173.67,173.5,173.25,173.25,174.0,174.0,174.0
590.0,173.62,1.0,8,174.0,173.5,173.0,173.5,173.0,174.0,174.0,174.0
595.0,173.75,0.67,8,174.0,173.5,173.43,173.33,174.0,173.75,174.0,174.0
600.0,173.71,0.5,8,174.0,173.5,173.5,173.67,173.5,173.5,174.0,174.0
605.0,173.76,1.0,8,174.0,173.75,173.5,173.0,173.83,174.0,174.0,174.0
610.0,173.69,1.0,8,173.5,174.0,173.0,173.0,174.0,174.0,174.0,174.0
615.0,173.75,0.75,8,174.0,173.75,173.25,173.5,173.5,174.0,174.0,174.0
620.0,173.65,1.0,8,174.0,173.5,173.0,173.5,173.5,173.67,174.0,174.0
625.0,173.66,1.0,8,174.0,173.71,173.33,173.0,173.5,173.75,174.0,174.0
630.0,173.59,1.0,8,174.0,173.5,173.25,173.0,173.0,174.0,174.0,174.0
635.0,173.78,0.67,8,174.0,173.5,174.0,173.38,173.33,174.0,174.0,174.0
640.0,173.86,0.6,8,174.0,174.0,173.5,173.4,174.0,174.0,174.0,174.0
645.0,173.68,1.0,8,174.0,174.0,173.0,173.0,173.75,173.67,174.0,174.0
650.0,173.83,0.5,8,174.0,174.0,173.5,173.5,173.67,174.0,174.0,174.0
655.0,173.74,0.75,8,174.0,173.5,173.25,173.67,173.5,174.0,174.0,174.0
660.0,173.81,0.5,8,174.0,174.0,173.5,173.5,173.5,174.0,174.0,174.0
665.0,173.75,0.75,8,174.0,173.25,173.5,173.75,173.5,174.0,174.0,174.0
670.0,173.75,1.0,8,174.0,174.0,173.0,173.0,174.0,174.0,174.0,174.0
675.0,173.84,0.75,8,173.71,174.0,174.0,173.25,173.75,174.0,174.0,174.0
680.0,173.68,1.0,8,174.0,173.4,173.5,173.0,174.0,173.5,174.0,174.0
685.0,173.62,1.0,8,173.33,173.0,173.29,173.33,174.0,174.0,174.0,174.0
690.0,173.82,1.0,8,174.0,174.0,173.0,173.6,174.0,174.0,174.0,174.0
695.0,173.75,1.0,8,174.0,174.0,173.67,173.0,173.33,174.0,174.0,174.0
700.0,173.71,0.75,8,173.67,174.0,173.25,173.25,173.5,174.0,174.0,174.0
705.0,173.62,1.0,8,174.0,173.5,173.5,173.0,173.5,173.5,174.0,174.0
