delay_us,mean,spread,ntags,p0,p1,p2,p3,p4,p5,p6,p7
340.0,160.63,1.0,8,161.0,160.5,160.5,160.0,160.4,160.67,161.0,161.0
345.0,160.38,1.0,8,160.5,160.25,160.25,160.0,160.0,160.33,161.0,160.67
350.0,160.45,1.0,8,161.0,160.67,160.0,160.0,160.25,160.5,160.5,160.67
355.0,160.35,1.0,8,161.0,160.33,160.0,160.0,160.0,160.5,160.5,160.5
360.0,160.44,1.0,8,160.5,160.33,160.5,160.12,160.33,160.75,160.0,161.0
365.0,160.34,0.75,8,160.0,160.5,160.0,160.14,160.33,160.33,160.67,160.75
370.0,160.44,1.0,8,160.0,160.5,160.0,160.0,160.5,160.5,161.0,161.0
375.0,160.49,1.0,8,160.67,160.25,160.5,160.0,160.0,160.8,161.0,160.67
380.0,160.47,1.0,8,160.5,160.5,160.5,160.0,161.0,160.5,160.25,160.5
385.0,160.45,1.0,8,160.67,160.33,160.25,160.0,160.5,160.0,161.0,160.86
390.0,160.42,1.0,8,160.33,160.5,160.0,160.5,160.0,160.5,161.0,160.5
395.0,160.39,1.0,8,160.5,160.17,160.0,160.0,160.25,160.5,161.0,160.67
400.0,160.42,1.0,8,161.0,160.33,160.0,160.0,160.5,160.5,161.0,160.0
405.0,160.54,1.0,8,161.0,161.0,160.0,160.0,160.33,160.5,160.75,160.75
410.0,160.46,1.0,8,161.0,160.0,160.2,160.0,160.0,160.5,161.0,161.0
415.0,160.52,1.0,8,160.75,160.5,160.5,160.33,160.0,160.33,161.0,160.75
420.0,160.5,1.0,8,161.0,160.0,160.0,160.0,160.5,160.5,161.0,161.0
425.0,160.42,1.0,8,160.5,160.5,160.0,160.0,160.33,160.0,161.0,161.0
430.0,160.38,1.0,8,160.0,160.5,160.0,160.5,161.0,160.5,160.5,160.0
435.0,160.54,1.0,8,160.5,161.0,160.0,160.0,160.5,160.33,161.0,161.0
440.0,160.61,1.0,8,161.0,160.5,160.25,160.0,160.25,161.0,160.86,161.0
445.0,160.44,1.0,8,161.0,160.5,160.0,160.5,160.0,160.5,161.0,160.0
450.0,160.46,1.0,8,160.5,160.33,160.33,160.0,160.25,160.5,160.75,161.0
455.0,160.3,1.0,8,160.5,160.4,160.0,160.0,160.0,160.0,161.0,160.5
460.0,160.37,0.75,8,160.33,160.5,160.14,160.0,160.0,160.5,160.75,160.75
465.0,160.47,1.0,8,161.0,161.0,160.0,160.25,160.0,160.5,160.5,160.5
470.0,160.48,1.0,8,161.0,160.0,160.0,160.5,160.33,161.0,160.5,160.5
475.0,160.54,1.0,8,160.5,160.5,161.0,160.0,160.0,160.86,160.75,160.75
480.0,160.39,1.0,8,161.0,160.0,160.0,160.0,160.0,160.6,161.0,160.5
485.0,160.32,0.89,8,160.0,160.5,160.0,160.0,160.67,160.0,160.89,160.5
490.0,160.51,0.75,8,160.67,160.33,160.25,160.25,160.25,160.5,160.83,161.0
495.0,160.47,1.0,8,160.0,160.0,160.5,160.0,160.5,161.0,161.0,160.75
500.0,160.44,1.0,8,160.33,160.5,160.0,160.0,160.67,161.0,160.0,161.0
505.0,160.3,1.0,8,160.33,160.0,160.0,160.0,160.0,161.0,160.4,160.67
510.0,160.39,0.67,8,160.5,160.67,160.0,160.5,160.0,160.5,160.5,160.43
515.0,160.4,1.0,8,161.0,160.33,160.0,160.0,160.33,160.0,160.75,160.75
520.0,160.34,0.5,8,160.5,160.0,160.5,160.25,160.0,160.5,160.5,160.5
525.0,160.41,1.0,8,160.75,160.25,160.25,160.0,160.5,160.0,160.5,161.0
530.0,160.5,1.0,8,161.0,160.5,160.5,160.0,160.0,160.5,161.0,160.5
