delay_us,mean,spread,ntags,p0,p1,p2,p3,p4,p5,p6,p7
340.0,160.75,1.0,8,160.5,160.0,160.5,161.0,161.0,161.0,161.0,161.0
345.0,160.52,1.0,8,160.67,160.0,161.0,161.0,160.0,160.0,160.5,161.0
350.0,160.75,0.67,8,161.0,160.5,160.33,160.67,160.75,160.75,161.0,161.0
355.0,160.65,0.8,8,160.5,160.2,161.0,160.5,161.0,160.5,160.5,161.0
360.0,160.61,0.67,8,160.5,161.0,160.33,161.0,160.33,160.5,160.75,160.5
365.0,160.38,1.0,8,161.0,160.0,160.0,160.0,161.0,160.0,160.5,160.5
370.0,160.42,1.0,8,161.0,160.0,160.0,160.33,160.0,160.5,160.75,160.75
375.0,160.5,1.0,8,160.5,160.5,160.5,160.5,160.0,160.5,160.5,161.0
380.0,160.7,0.75,8,161.0,160.25,161.0,160.5,160.5,160.67,160.67,161.0
385.0,160.7,0.5,8,161.0,160.5,160.5,160.5,160.6,160.5,161.0,161.0
390.0,160.66,1.0,8,160.0,160.75,160.5,160.5,160.5,161.0,161.0,161.0
395.0,160.72,1.0,8,160.0,160.5,160.5,161.0,161.0,160.75,161.0,161.0
400.0,160.54,0.75,8,161.0,160.5,160.25,160.5,160.5,160.5,160.71,160.33
405.0,160.34,0.75,8,160.5,160.0,160.0,160.5,160.0,160.5,160.5,160.75
410.0,160.47,1.0,8,160.4,160.0,160.0,160.33,161.0,160.25,160.75,161.0
415.0,160.49,1.0,8,160.5,160.17,160.5,160.33,160.67,160.0,161.0,160.75
420.0,160.39,0.5,8,160.5,160.0,160.5,160.25,160.33,160.5,160.5,160.5
425.0,160.39,0.78,8,160.25,160.67,160.0,160.0,160.0,160.67,160.78,160.75
430.0,160.39,0.75,8,160.75,160.0,160.5,160.25,160.0,160.33,160.5,160.75
435.0,160.54,1.0,8,160.0,160.0,160.5,160.5,161.0,161.0,160.5,160.83
440.0,160.33,1.0,8,160.38,160.0,160.25,160.0,160.5,160.0,161.0,160.5
445.0,160.52,1.0,8,160.67,161.0,160.5,160.0,160.5,160.0,161.0,160.5
450.0,160.36,0.75,8,160.5,160.33,160.33,160.0,160.0,160.5,160.75,160.5
455.0,160.31,1.0,8,160.0,160.67,160.33,160.0,160.5,160.0,161.0,160.0
460.0,160.42,0.75,8,160.5,160.5,160.0,160.0,160.38,160.5,160.75,160.75
465.0,160.43,1.0,8,160.5,160.0,160.0,160.5,160.43,160.0,161.0,161.0
470.0,160.62,1.0,8,160.75,160.75,160.0,160.0,161.0,160.5,161.0,161.0
475.0,160.56,1.0,8,161.0,160.5,160.5,160.0,160.0,161.0,160.5,161.0
480.0,160.45,1.0,8,160.5,160.5,160.25,160.0,160.5,160.0,160.88,161.0
485.0,160.57,1.0,8,161.0,161.0,160.0,160.5,160.0,161.0,160.6,160.5
490.0,160.38,1.0,8,161.0,160.0,160.25,160.0,160.25,160.5,160.5,160.5
495.0,160.41,1.0,8,160.5,160.5,160.0,160.5,160.0,160.0,161.0,160.75
500.0,160.56,1.0,8,161.0,160.33,160.0,160.67,160.0,161.0,160.5,161.0
505.0,160.67,1.0,8,160.75,161.0,160.5,160.5,160.0,160.83,161.0,160.75
510.0,160.65,1.0,8,161.0,160.5,160.0,160.5,160.5,160.67,161.0,161.0
515.0,160.41,0.8,8,160.33,160.25,160.25,160.0,160.5,160.5,160.8,160.67
520.0,160.25,1.0,8,160.5,161.0,160.0,160.0,160.0,160.0,160.0,160.5
525.0,160.25,1.0,8,161.0,160.5,160.0,160.0,160.0,160.0,160.5,160.0
530.0,160.43,1.0,8,160.5,160.0,160.0,160.5,160.25,160.5,160.67,161.0
535.0,160.31,1.0,8,160.5,160.0,160.0,160.0,160.5,160.5,160.0,161.0
540.0,160.49,1.0,8,160.67,161.0,160.22,160.0,160.0,160.5,160.75,160.75
545.0,160.5,1.0,8,161.0,160.5,160.5,160.0,160.5,160.5,161.0,160.0
550.0,160.45,1.0,8,160.5,160.33,160.0,160.5,160.17,160.33,160.75,161.0
555.0,160.75,0.5,8,161.0,160.5,160.5,160.5,161.0,161.0,160.5,161.0
560.0,160.33,0.75,8,160.75,160.0,160.25,160.0,160.5,160.5,160.0,160.67
565.0,160.38,1.0,8,161.0,160.5,160.0,160.0,160.0,160.0,160.5,161.0
570.0,160.36,0.8,8,160.67,160.33,160.25,160.0,160.0,160.5,160.8,160.33
575.0,160.41,1.0,8,161.0,160.0,160.0,160.0,160.5,160.0,160.75,161.0
580.0,160.5,1.0,8,160.5,160.5,160.0,160.5,161.0,160.5,160.5,160.5
585.0,160.42,1.0,8,160.0,160.33,160.0,160.0,160.0,161.0,161.0,161.0
590.0,160.72,0.5,8,161.0,160.5,160.57,161.0,160.67,160.5,160.75,160.75
595.0,160.72,1.0,8,161.0,161.0,160.0,160.75,160.5,160.5,161.0,161.0
600.0,160.59,0.67,8,160.5,160.67,160.5,160.5,160.5,160.33,161.0,160.75
605.0,160.66,0.86,8,160.75,160.75,160.5,160.5,160.14,161.0,160.67,161.0
610.0,160.59,1.0,8,161.0,160.0,160.5,160.0,160.5,160.75,161.0,161.0
615.0,160.69,1.0,8,160.75,161.0,160.25,160.0,161.0,161.0,160.83,160.67
620.0,160.69,0.5,8,161.0,160.5,160.5,161.0,160.5,160.5,161.0,160.5
625.0,160.77,0.5,8,161.0,160.75,160.5,161.0,160.5,160.75,161.0,160.67
630.0,160.85,0.67,8,160.33,161.0,161.0,160.5,161.0,161.0,161.0,161.0
635.0,160.69,0.75,8,160.5,161.0,161.0,160.25,160.5,160.75,160.5,161.0
640.0,160.55,1.0,8,160.5,160.5,160.5,160.4,160.0,160.5,161.0,161.0
645.0,160.67,0.67,8,160.75,160.5,160.33,160.5,160.57,160.67,161.0,161.0
650.0,160.56,1.0,8,161.0,160.0,160.5,160.5,160.0,161.0,160.5,161.0
655.0,160.74,1.0,8,160.75,161.0,160.0,160.33,161.0,161.0,160.83,161.0
660.0,160.81,0.5,8,161.0,161.0,160.5,160.5,160.5,161.0,161.0,161.0
665.0,160.71,0.75,8,161.0,160.75,160.5,160.25,160.5,160.67,161.0,161.0
670.0,160.44,1.0,8,161.0,160.0,160.0,160.0,160.0,161.0,161.0,160.5
675.0,160.54,1.0,8,160.6,160.67,160.33,160.5,160.0,160.75,160.5,161.0
680.0,160.67,1.0,8,161.0,160.33,160.5,160.0,160.5,161.0,161.0,161.0
685.0,160.56,1.0,8,161.0,160.5,160.5,160.0,160.33,160.67,160.75,160.75
690.0,160.59,0.8,8,161.0,160.33,160.6,160.2,160.4,160.67,160.5,161.0
695.0,160.73,1.0,8,160.33,161.0,161.0,161.0,160.0,160.5,161.0,161.0
700.0,160.51,0.75,8,161.0,160.5,160.5,160.33,160.25,160.25,160.75,160.5
705.0,160.48,1.0,8,161.0,160.0,160.33,160.0,160.0,161.0,161.0,160.5
710.0,160.5,1.0,8,160.25,160.67,160.0,160.43,160.0,160.67,161.0,161.0
