delay_us,median,min,max,sat_px
2500.88,197.0,197,197,0
2505.75,197.0,197,197,0
2510.62,197.0,197,197,0
2515.5,197.0,197,197,0
2520.38,197.0,197,197,0
2525.25,197.0,197,197,0
2530.12,197.0,196,197,0
2535.0,197.0,197,197,0
2539.88,197.0,197,197,0
2544.75,197.0,197,197,0
2549.62,197.0,197,197,0
2554.5,197.0,197,197,0
2559.38,197.0,197,197,0
2564.25,197.0,197,197,0
2569.12,197.0,197,197,0
2574.0,197.0,197,197,0
2578.88,197.0,197,197,0
2583.75,197.0,197,197,0
2588.62,197.0,197,197,0
2593.5,197.0,197,197,0
2598.38,197.0,197,197,0
2603.25,197.0,197,197,0
2608.12,197.0,197,197,0
2613.0,197.0,197,197,0
2617.88,197.0,197,197,0
2622.75,197.0,197,198,0
2627.62,197.0,197,197,0
2632.5,197.0,197,197,0
2637.38,197.0,197,198,0
2642.25,197.0,197,197,0
2647.12,197.0,197,197,0
2652.0,197.0,197,197,0
2656.88,197.0,197,197,0
2661.75,197.0,197,197,0
2666.62,197.0,197,197,0
2671.5,197.0,197,197,0
2676.38,197.0,197,197,0
2681.25,197.0,197,197,0
2686.12,197.0,197,197,0
2691.0,197.0,197,197,0
2695.88,197.0,197,197,0
2700.75,197.0,197,197,0
2705.62,197.0,197,197,0
2710.5,197.0,197,197,0
2715.38,197.0,197,197,0
2720.25,197.0,197,197,0
2725.12,197.0,197,197,0
2730.0,197.0,197,197,0
2734.88,197.5,197,199,0
2739.75,490.0,399,593,0
2744.62,992.0,978,992,206
2749.5,992.0,992,993,206
2754.38,992.0,992,992,206
2759.25,992.0,992,992,206
2764.12,992.0,992,993,206
2769.0,992.0,991,993,206
2773.88,992.0,992,993,206
2778.75,992.0,992,993,206
2783.62,992.5,992,993,206
2788.5,993.0,992,993,206
2793.38,992.5,992,993,206
2798.25,992.5,991,993,206
2803.12,993.0,991,993,206
2808.0,993.0,992,993,206
2812.88,992.0,992,993,206
2817.75,992.5,992,993,206
2822.62,992.5,992,993,206
2827.5,992.5,992,993,206
2832.38,992.0,992,993,206
2837.25,992.5,992,993,206
2842.12,992.5,992,993,206
2847.0,992.5,992,993,206
2851.88,993.0,993,993,206
2856.75,992.5,992,993,206
2861.62,993.0,992,993,206
2866.5,993.0,992,993,205
2871.38,993.0,992,993,206
2876.25,993.0,992,993,206
2881.12,993.0,992,993,206
2886.0,993.0,992,993,206
2890.88,992.0,992,993,206
2895.75,993.0,992,993,206
2900.62,993.0,992,993,206
2905.5,993.0,993,993,206
2910.38,993.0,993,993,206
2915.25,993.0,992,993,206
2920.12,993.0,992,993,205
2925.0,993.0,992,993,205
2929.88,991.0,991,991,205
2934.75,993.0,991,993,206
2939.62,991.5,991,993,206
2944.5,993.0,992,993,206
2949.38,993.0,992,994,206
2954.25,993.0,992,994,206
2959.12,993.0,993,993,206
2964.0,993.0,993,993,206
2968.88,993.0,993,993,206
2973.75,993.0,993,993,206
2978.62,993.0,992,994,206
2983.5,993.0,992,993,206
2988.38,993.0,993,993,206
2993.25,993.0,992,993,206
2998.12,993.0,993,994,206
3003.0,993.0,993,993,206
3007.88,993.0,993,993,206
3012.75,993.0,992,993,206
3017.62,992.5,991,993,206
3022.5,993.0,991,993,206
3027.38,993.0,992,993,206
3032.25,993.5,993,994,206
3037.12,993.0,993,993,206
3042.0,993.0,993,994,207
3046.88,993.0,993,994,206
3051.75,993.0,993,993,206
3056.62,993.0,993,994,206
3061.5,993.0,991,993,206
3066.38,993.0,993,994,206
3071.25,992.0,991,993,206
3076.12,994.0,993,994,206
3081.0,993.0,993,993,206
3085.88,993.0,993,994,206
3090.75,993.0,993,993,206
3095.62,993.0,993,994,206
3100.5,993.0,993,993,206
3105.38,993.0,993,993,206
3110.25,993.5,993,994,206
3115.12,993.0,993,993,206
3120.0,992.0,991,993,206
3124.88,993.0,993,994,206
3129.75,993.0,993,993,206
3134.62,994.0,993,994,206
3139.5,994.0,993,994,206
3144.38,843.0,759,945,3
3149.25,339.5,237,425,0
3154.12,220.5,220,221,0
3159.0,216.0,214,219,0
3163.88,201.5,200,206,0
3168.75,197.0,196,197,0
3173.62,196.5,196,197,0
3178.5,193.5,193,194,0
3183.38,192.0,192,193,0
3188.25,192.0,192,192,0
3193.12,191.0,191,191,0
3198.0,190.0,190,190,0
3202.88,190.0,190,190,0
3207.75,189.5,189,190,0
3212.62,189.0,189,189,0
3217.5,189.0,188,189,0
3222.38,188.5,188,189,0
3227.25,188.0,188,189,0
3232.12,188.0,188,189,0
3237.0,189.0,188,189,0
3241.88,189.0,188,189,0
3246.75,189.0,188,189,0
3251.62,189.0,188,189,0
3256.5,188.5,188,189,0
3261.38,189.0,188,189,0
3266.25,189.0,188,189,0
3271.12,188.5,188,189,0
3276.0,188.0,187,188,0
3280.88,188.0,188,188,0
3285.75,188.0,188,188,0
3290.62,188.0,188,188,0
3295.5,188.0,188,189,0
3300.38,188.0,188,188,0
3305.25,188.0,188,189,0
3310.12,188.0,188,189,0
3315.0,188.0,188,189,0
3319.88,188.0,188,189,0
3324.75,188.0,188,189,0
3329.62,188.0,188,189,0
3334.5,188.0,188,188,0
3339.38,188.0,188,188,0
3344.25,188.0,188,188,0
3349.12,188.0,188,188,0
3354.0,188.0,188,189,0
3358.88,188.0,188,189,0
3363.75,188.0,185,198,0
3368.62,468.0,409,511,0
3373.5,683.0,680,691,0
3378.38,682.0,678,687,0
3383.25,683.5,682,689,0
3388.12,685.5,677,691,0
3393.0,666.0,652,678,0
3397.88,418.0,408,461,0
3402.75,234.5,223,247,0
3407.62,200.5,195,206,0
3412.5,186.5,184,188,0
3417.38,181.0,180,183,0
3422.25,179.0,179,180,0
3427.12,177.0,177,178,0
3432.0,176.0,176,176,0
3436.88,175.5,175,176,0
3441.75,175.0,175,175,0
3446.62,175.0,174,175,0
3451.5,174.0,174,174,0
3456.38,174.0,174,174,0
3461.25,174.0,174,174,0
3466.12,174.0,173,174,0
3471.0,174.0,173,174,0
3475.88,174.0,173,174,0
3480.75,173.5,173,174,0
3485.62,173.0,173,174,0
3490.5,174.0,173,174,0
3495.38,174.0,173,174,0
3500.25,174.0,173,174,0
3505.12,174.0,173,174,0
3510.0,174.0,174,174,0
3514.88,174.0,174,174,0
3519.75,174.0,174,174,0
3524.62,174.0,174,174,0
3529.5,174.0,174,174,0
3534.38,174.5,174,175,0
3539.25,175.0,174,175,0
3544.12,175.0,175,175,0
3549.0,175.0,175,175,0
3553.88,175.0,175,175,0
3558.75,176.0,175,176,0
3563.62,176.0,175,176,0
3568.5,176.0,176,176,0
3573.38,176.0,176,176,0
3578.25,176.0,176,176,0
3583.12,176.0,176,177,0
3588.0,177.0,177,177,0
3592.88,177.0,177,177,0
3597.75,177.0,177,178,0
3602.62,177.0,177,178,0
3607.5,178.0,178,178,0
3612.38,178.0,178,178,0
3617.25,178.0,178,179,0
3622.12,179.0,178,179,0
3627.0,179.0,179,179,0
3631.88,179.0,179,180,0
3636.75,179.0,179,179,0
